tgname,trigger_def
RI_ConstraintTrigger_a_21503,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_21503"" AFTER DELETE ON public.profiles FROM payment_confirmations NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_21504,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_21504"" AFTER UPDATE ON public.profiles FROM payment_confirmations NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_28599,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28599"" AFTER DELETE ON public.profiles FROM reviews NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_28600,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28600"" AFTER UPDATE ON public.profiles FROM reviews NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_28604,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28604"" AFTER DELETE ON public.profiles FROM reviews NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_28605,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28605"" AFTER UPDATE ON public.profiles FROM reviews NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_28675,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28675"" AFTER DELETE ON public.profiles FROM site_visitors NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_setnull_del""()"
RI_ConstraintTrigger_a_28676,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28676"" AFTER UPDATE ON public.profiles FROM site_visitors NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_28698,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28698"" AFTER DELETE ON public.profiles FROM blocked_ips NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_setnull_del""()"
RI_ConstraintTrigger_a_28699,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28699"" AFTER UPDATE ON public.profiles FROM blocked_ips NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_28764,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28764"" AFTER DELETE ON public.profiles FROM coin_transactions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_28765,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28765"" AFTER UPDATE ON public.profiles FROM coin_transactions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_28786,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28786"" AFTER DELETE ON public.profiles FROM attendance NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_28787,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28787"" AFTER UPDATE ON public.profiles FROM attendance NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_28824,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28824"" AFTER DELETE ON public.profiles FROM coin_reward_claims NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_28825,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28825"" AFTER UPDATE ON public.profiles FROM coin_reward_claims NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_28875,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28875"" AFTER DELETE ON public.profiles FROM employee_payment_apps NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_28876,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28876"" AFTER UPDATE ON public.profiles FROM employee_payment_apps NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_28966,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28966"" AFTER DELETE ON public.profiles FROM push_subscriptions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_28967,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_28967"" AFTER UPDATE ON public.profiles FROM push_subscriptions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
